"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"110","83047712","單點室內裝修有限公司","桃園市龍潭區武漢里19鄰中興路317巷60弄24號","程耀威","50000","1091013"
"111","83047728","億昇隆興業有限公司","桃園市桃園區龍壽里龍城一街98號10樓","黃升塏","300000","1091013"
"112","83047733","回造文教科技有限公司","桃園市中壢區新街里環北路400號20樓之2","王政賢","1000000","1091013"
"113","83047749","阿鬥寵物有限公司","桃園市中壢區新中北路151-7號","徐仲棋","200000","1091013"
"114","83047760","愛格特貿易有限公司","桃園市八德區忠勇五街22號17樓","羅志堅","100000","1091013"
"115","83047776","靖恒不動產有限公司","桃園市中壢區內厝里福全路288巷26號(1樓)","吳梅櫻","5000000","1091013"
"116","83047781","玉潔淨水設備有限公司","桃園市龍潭區龍星里中正路264號(1樓)","陳立瑜","200000","1091013"
"117","83047797","亞駿汽車材料有限公司","桃園市蘆竹區中福里龍安街二段1259巷37號1樓","高宏宗","5000000","1091013"
"118","83047804","舒夏國際有限公司","桃園市桃園區經國路314號6樓","王善茹","1000000","1091015"
"119","83047810","承新國際股份有限公司","桃園市中壢區青峰路一段65號13樓","陳敬偉","10000000","1091013"
"120","83047826","泓順機械有限公司","桃園市八德區開隆街82號","張玉芳","3000000","1091013"
"121","83047831","和醫醫材有限公司","桃園市桃園區龍岡里上海路262號(1樓)","廖偉翔","1000000","1091013"
"122","83047847","坤弘有限公司","桃園市中壢區青埔里青峰路一段39號11樓","廖宸和","92000","1091013"
"123","83047852","春日水族有限公司","桃園市桃園區春日路1416之1號","李文弘","500000","1091014"
"124","83047868","晟碩設計室內裝修有限公司","桃園市桃園區壽昌街31號（1樓）","林承鋒","800000","1091014"
"125","83047874","永仕興業有限公司","桃園市龜山區嶺頂里宏昇街2號","鄭永琳","3000000","1091014"
"126","83047889","辰陽開發股份有限公司","桃園市桃園區同德里中埔五街28號11樓","夏麗蘭","5000000","1091014"
"127","83047895","巨翃科技有限公司","桃園市八德區大仁里桃鶯路宏福巷52號5樓","蕭淑珠","1000000","1091014"
"128","83047902","昇翔企業有限公司","桃園市楊梅區富岡里成功路11號","徐士堅","10000000","1091014"
"129","83047918","瑞龍實業有限公司","桃園市八德區大正里26鄰正福街61號12樓","劉志國","1000000","1091014"
"130","83047924","誠可企業有限公司","桃園市八德區大安里和平路528巷77號2樓","黃靜宜","3000000","1091014"
"131","83047939","禾煦有限公司","桃園市中壢區長樂街84巷27號（1樓）","簡宏安","1000000","1091014"
"132","83047945","菁誠建設有限公司","桃園市桃園區大原路5號","翁素梅","26000000","1091014"
"133","83047950","云翔工程規劃有限公司","桃園市桃園區文明里南華街60號10樓之2","吳欣昀","500000","1091014"
"134","83047966","順廷搬家貨運有限公司","桃園市龍潭區龍平路632巷26弄27號（2樓）","陳順明","10000000","1091014"
"135","83047972","馬沙餐飲企業股份有限公司","桃園市桃園區自強路53號1樓及地下室","盧雋斌","12000000","1091014"
"136","83047987","禾宙國際有限公司","桃園市中壢區福州一街91號","呂慶明","15000000","1091014"
"137","83047993","太陽人全民電廠有限公司","桃園市中壢區中華路一段743巷1弄2號","李汪杰","1000000","1091014"
"138","83048016","益善工程有限公司","桃園市大溪區仁和里埔頂路1段245巷248號(1樓)","陳柏宏","1000000","1091014"
"139","83048022","鉑樂企業有限公司","桃園市桃園區中信里中山路956巷158號(1樓)","林宜蓁","2000000","1091015"
"140","83048037","頫霖股份有限公司","桃園市桃園區中正路1080號29樓","戴偉倫","100000000","1091015"
"141","83048043","垣榮貿易投資股份有限公司","桃園市大園區興德路30之1號3樓","陳傳中","8000000","1091015"
"142","83048058","宏喬顧問有限公司","桃園市蘆竹區南崁里中正路90號(10樓)","陳翊豪","500000","1091015"
"143","83048064","准源工程有限公司","桃園市桃園區青田街222之1號8樓","王亮","100000","1091015"
"144","83048070","巨鈦企業有限公司","桃園市龍潭區梅龍路285巷27弄16號(1樓)","葉文中","900000","1091015"
"145","83048085","富巧生技股份有限公司","桃園市楊梅區中山北路一段199巷76號","陳國賓","15000000","1091015"
"146","83048091","水山明有限公司","桃園市蘆竹區南崁路239號","潘清雄","500000","1091015"
"147","83048108","比撒列文創志業有限公司","桃園市中壢區舊明里24鄰明德路60號(5樓)","張剛倫","100000","1091015"
"148","83048114","廣享數位行銷有限公司","桃園市中壢區新街里元化路224號12樓","黃翔駿","40000","1091015"
"149","83048120","佑翔興業有限公司","桃園市蘆竹區中福里文中路一段99號","邱靖翔","500000","1091015"
"150","83048135","家芬整合服務有限公司","桃園市龜山區文化二路38之3號6樓之1","李昇泰","500000","1091015"
"151","83048141","青垣有限公司","桃園市蘆竹區內厝里11鄰內厝108之6號","廖瑞青","10000000","1091015"
"152","83048156","吉富置地有限公司","桃園市中壢區福德里中華路一段215號(1樓)","危挺山","1000000","1091015"
"153","83048162","渲昌國際科技有限公司","桃園市龜山區大崗里新興街64號（1樓）","張弘學","1000000","1091015"
"154","83048178","中寶股份有限公司","桃園市龍潭區佳安里佳安西路180巷68號(1樓)","李燕芬","1000000","1091015"
"155","83048183","亞和企業有限公司","桃園市八德區大仁里和平路1441巷111弄21號（1樓）","歐素貞","3000000","1091015"
"156","83048199","墨鏡哥阿財發大財數錢數到手抽筋一生平安幸福美滿企業有限公司","桃園市八德區大興里大興路102號18樓","宋享俸","100000","1091015"
"157","83048212","力拓半導體股份有限公司","桃園市桃園區同安里藝文一街86之7號3樓","蔡國基","1000000","1091016"
"158","83048233","芳和國際貿易有限公司","桃園市蘆竹區南崁路一段83號18樓之5","馮文芳","3000000","1091016"
"159","83048249","珞躍科技股份有限公司","桃園市中壢區環北路398號11樓之8","張偉倫","1000000","1091016"
"160","83048254","新琪家居飾品有限公司","桃園市桃園區龍壽里14鄰龍城一街79號10樓","吳簡治","1000000","1091016"
"161","83048276","岑庭國際有限公司","桃園市八德區瑞泰里瑞安街118之5號5樓","呂依庭","100000","1091016"
"162","83048281","銳揚開發有限公司","桃園市中壢區興和里環北路199號4樓","張翠玲","1500000","1091016"
"163","83048297","元皓搬家貨運有限公司","桃園市大園區菓林里菓林路320號(1樓)","邱顯照","10000000","1091016"
"164","83048310","梯瓦園藝有限公司","桃園市平鎮區廣達里廣平街18巷32號","顏嘉良","450000","1091016"
"165","83048326","程鴻科技有限公司","桃園市桃園區寶慶里永安北路282巷20號(1樓)","闕育凡","1500000","1091016"
"166","83048331","焊昇科技有限公司","桃園市中壢區過嶺里松勇一街57號8樓","簡佑焊","300000","1091016"
"167","83048347","碩陽控股股份有限公司","桃園市中壢區內定里內定20街76巷72號","林明昌","155532540","1091016"
"168","83048352","靖盈運動行銷有限公司","桃園市桃園區中正里廈門街91號6樓","卓俊廷","500000","1091016"
"169","83048368","昌聖實業有限公司","桃園市蘆竹區奉化路58之2號8樓","蘇育輝","300000","1091016"
"170","83048374","勝信有限公司","桃園市楊梅區瑞塘里永美路471巷1號2樓","陳若凱","100000","1091016"
"171","83048389","宸旭精密科技股份有限公司","桃園市中壢區新北園路18號","楊凱茹","9000000","1091016"
"172","83048395","永力包裝實業有限公司","桃園市龍潭區烏林里6鄰中豐路543巷32號","李欣庭","2500000","1091020"
"173","83048402","二川國際有限公司","桃園市桃園區北埔里莊敬路二段78號3樓","洪立蓁","1001000","1091019"
"174","83048418","五餅二魚企業有限公司","桃園市中壢區嘉興街8號","張瓅尹","2000000","1091019"
"175","83048439","辰佳健康顧問有限公司","桃園市中壢區實踐路225之11號","耿詩佳","1000000","1091019"
"176","83048450","榮吉粉烤有限公司","桃園市桃園區龍山里雙龍街14巷4號(2樓)","古青榮","1000000","1091019"
"177","83048466","東鄉事業股份有限公司","桃園市桃園區雙峰路122號","陳惠珠","6000000","1091019"
"178","83048472","解藥創意行銷有限公司","桃園市中壢區普仁里力行北街121巷1號4樓","黃耀德","200000","1091019"
"179","83048487","辦囍事整合行銷有限公司","桃園市平鎮區廣達里民族路二段23巷30號21樓","黃祈景","250000","1091019"
"180","83048493","東本投資股份有限公司","桃園市大園區興德路30號3樓","傅浩東","24000000","1091019"
"181","83048515","永富車業有限公司","桃園市桃園區慈文里慈光街28號2樓","陳台聲","200000","1091019"
"182","83048521","一集投資有限公司","桃園市中壢區自強西路5號(3樓)","簡新一","500000","1091019"
"183","83048536","薇閣餐旅管理顧問股份有限公司","桃園市中壢區東興里東明街9號","許調謀","25000000","1091019"
"184","83048542","世紀人力派遣有限公司","桃園市桃園區永興里新生路111號十四樓","高秀枝","500000","1091019"
"185","83048557","山力工程顧問有限公司","桃園市八德區桃和街101巷3號","廖正傑","1000000","1091019"
"186","83048563","承堯有限公司","桃園市桃園區中山路941之1號(1樓)","郭承堯","200000","1091019"
"187","83048579","孩堡有限公司","桃園市桃園區南埔里永順街88巷12號七樓","陳璽亦","200000","1091019"
"188","83048584","研新科創有限公司","桃園市蘆竹區宏竹里大華街300巷7號5樓","蔡文明","100000","1091019"
"189","83048590","匯學教育顧問有限公司","桃園市桃園區龍祥街90巷8號六樓","翁倖惠","350000","1091019"
"190","83048613","有澤國際貿易有限公司","桃園市大溪區仁愛里埔頂路一段384號（1樓）","邱創麟","1000000","1091020"
"191","83048634","雨居室內裝修設計有限公司","桃園市中壢區復興里長樂五街88號11樓","詹浦琳","1000000","1091020"
"192","83048640","貫宇有限公司","桃園市大園區大海里大牛稠33之12號","林煥榮","12000000","1091020"
"193","83048655","會萬有限公司","桃園市桃園區中正路905號","周才詠","300000","1091020"
"194","83048661","銘揚環保有限公司","桃園市桃園區泰昌十二街98號","周玲如","1000000","1091020"
"195","83048677","宏苑事業有限公司","桃園市中壢區忠福里福安三街12巷2號(1樓)","王柏融","10000000","1091020"
"196","83048682","光華光電有限公司","桃園市蘆竹區安中街3巷6號","趙子明","10000000","1091020"
"197","83048698","實力建設有限公司","桃園市桃園區南埔里溫州街15巷19號","黃士紋","20000000","1091020"
"198","83048705","固德艾荻兒有限公司","桃園市八德區大和里銀和街27巷1弄1號2樓之1","涂奇貹","1000000","1091020"
"199","83048711","坎貝蒂恩生技有限公司","桃園市中壢區新明里新明路43號四樓","呂紹傑","200000","1091020"
"200","83048727","米格爾實業有限公司","桃園市中壢區同安里藝文一街86之6號17樓","李傳皓","100000","1091020"
"201","83048732","台灣海豚集裝箱有限公司","桃園市平鎮區環南路3段133號3樓之2","黃玉英","300000","1091021"
"202","83048748","巧和國際室內裝修設計有限公司","桃園市八德區忠勇街433巷22之3號","呂立仁","200000","1091020"
"203","83048753","奇冰國際事業股份有限公司","桃園市中壢區普仁里力行北街47號","張又升","1000000","1091021"
"204","83048769","樂富金科技有限公司","桃園市中壢區文化里長春二路203號(2樓)","王浚宇","300000","1091021"
"205","83048775","傑泰國際貿易有限公司","桃園市中壢區環北路398號19樓之5","沈毓銜","50000","1091021"
"206","83048780","喬暘投資股份有限公司","桃園市中壢區後寮里33鄰龍興路668巷38弄7之5號（1樓）","楊明宗","1500000","1091021"
"207","83048796","丹尼斯國際貿易有限公司","桃園市楊梅區瑞坪路79巷21號(2樓)","温浩雋","1000000","1091021"
"208","83048819","睿鈦實業有限公司","桃園市蘆竹區大竹里大竹路597號（2樓）","黃梓誠","300000","1091021"
"209","83048825","翔信科技有限公司","桃園市中壢區舊明里明德路60號（5樓）","陳峙翔","1000000","1091021"
"210","83048830","綠漾科技有限公司","桃園市中壢區中壢區松信路113號12樓","莊依婷","1000000","1091021"
"211","83048851","昇陽投資有限公司","桃園市大園區橫峰里高鐵北路二段109號（1樓）","鍾迪安","5000000","1091021"
"212","83048867","恆昇投資有限公司","桃園市大園區橫峰里高鐵北路二段109號(1樓)","姜玉卿","5000000","1091021"
"213","83048873","正展投資有限公司","桃園市大園區橫峰里高鐵北路二段109號（1樓）","鍾昌賜","5000000","1091021"
"214","83048888","廷偉股份有限公司","桃園市桃園區中正路1071號20樓之2","吳志宏","10000000","1091022"
"215","83048894","聯科機電科技股份有限公司","桃園市蘆竹區經國路902號6樓","湯淨惠","20000000","1091021"
"216","83048901","誠益能源股份有限公司","桃園市平鎮區南勢里中豐路南勢二段313巷18弄22號","孫建成","50000","1091021"
"217","83048917","瑞旺綠能科技股份有限公司","桃園市蘆竹區上興里中興路100巷12號","林胡榆","10000000","1091021"
"218","83048923","品芊娛樂經紀有限公司","桃園市桃園區民生里民生路308之2號","陳宗文","150000","1091021"
"219","83048938","中立顧問股份有限公司","桃園市中壢區興南里中美路1段12號10樓","廖靜家","12000000","1091021"
"220","83048959","冠達土地開發有限公司","桃園市大園區和平東路17巷6號(1樓)","林義閔","1000000","1091021"
"221","83048965","明漾有限公司","桃園市八德區大成里介壽路一段988號","蕭永鈞","300000","1091021"
"222","83048971","享營投資有限公司","桃園市楊梅區長青二街22號","施靜怡","3420000","1091023"
"223","83048986","東太翔空調科技有限公司","桃園市八德區高明里高城七街21巷5之1號","顧義育","700000","1091016"
"224","83048992","辰禎建設股份有限公司","桃園市大園區大園里忠孝一街79號(1樓)","陳文結","6000000","1091022"
"225","83049015","寶經代管理顧問有限公司","桃園市平鎮區復興里22鄰文化街57號5樓","吳慶明","100000","1091022"
"226","83049021","佑得科技系統有限公司","桃園市中壢區信義里廣州路236號12樓","羅士紋","1500000","1091022"
"227","83049036","佳朋資訊有限公司","桃園市桃園區中興里中福街79之1號","陳志源","200000","1091022"
"228","83049042","金勇有限公司","桃園市平鎮區龍德路107號(1樓)","黃郁琇","300000","1091022"
"229","83049057","台灣新計劃有限公司","桃園市蘆竹區正興里奉化路58之8號8樓","唐念平","100000","1091022"
"230","83049063","國笙工程有限公司","桃園市中壢區月眉里月眉路三段413號(1樓)","鍾志國","1000000","1091022"
"231","83049079","崎遇圓鏡有限公司","桃園市桃園區龍山里龍門街2巷15號","黃挺嘉","26000","1091022"
"232","83049084","銓譜股份有限公司","桃園市觀音區大潭里環南路855號","黃郁玲","1600000","1091022"
"233","83049090","三傑鋼業股份有限公司","桃園市龜山區龍華里萬壽路一段頂好巷1弄3號2樓","鄭潮榮","30000","1091022"
"234","83049107","大麗廣告有限公司","桃園市中壢區青埔里領航南路4段15號","黃雅娟","1200000","1091022"
"235","83049113","全右有限公司","桃園市大溪區仁善街108號6樓之3","陳祐均","50000","1091022"
"236","83049129","合家事業有限公司","桃園市平鎮區廣泰路246號2樓","張家銘","380000","1091023"
"237","83049134","瀧田國際有限公司","桃園市中壢區內定里內定二十街158巷7號","何貴珍","500000","1091023"
"238","83049155","慷僑生技股份有限公司","桃園市桃園區中山北路238號","房辰陽","8000000","1091023"
"239","83049161","方君傳媒有限公司","桃園市桃園區自強路115號11樓","王方君","100000","1091023"
"240","83049177","金富祿有限公司","桃園市中壢區普忠里新中北路420號","許勝欽","1000000","1091023"
"241","83049182","八元新實業有限公司","桃園市桃園區福元里大業路一段192號6樓","羅美惠","6000000","1091023"
"242","83049198","茉莉投資股份有限公司","桃園市桃園區同德六街137號12樓","蔡夢桓","5000000","1091023"
"243","83049205","鈞安工程技術有限公司","桃園市平鎮區東勢里金龍路190巷39弄90號9樓","徐英州","100000","1091023"
"244","83049211","全新環保有限公司","桃園市桃園區成功路一段32號5樓","詹光榮","1000000","1091023"
"245","83049232","鉑洋工程有限公司","桃園市中壢區龍德里龍岡路三段243巷36號4樓","吳國安","1000000","1091023"
"246","83049248","優匠室內裝修設計有限公司","桃園市龜山區文化三路399號10樓之5","林國棟","300000","1091023"
"247","83049253","千金方投資股份有限公司","桃園市中壢區青峰路1段61號13樓","陳兆祥","20000000","1091027"
"248","83049269","寬達國際有限公司","桃園市桃園區龍壽里龍泉六街16號6樓","陳宥廷","1000000","1091023"
"249","83049275","三禾苑建設有限公司","桃園市大園區大園里中山南路233號(2樓)","許世奇","1000000","1091026"
"250","83049280","沐司國際有限公司","桃園市蘆竹區中山路66之1號10樓","陳茟霏","2000000","1091026"
"251","83049296","東賜生技有限公司","桃園市蘆竹區營盤里六福路292之6號(1樓)","朱東賜","1000000","1091026"
"252","83049303","春秋建設股份有限公司","桃園市觀音區中正路252號","連怡婷","5000000","1091026"
"253","83049319","星瀚企業有限公司","桃園市八德區興仁里中山路161號(2樓)","方俊傑","200000","1091026"
"254","83049325","夯博生技股份有限公司","桃園市中壢區金華里慈惠三街157巷11樓13樓","陳捷希","1010000","1091026"
"255","83049330","鑫鑫向瀧有限公司","桃園市桃園區同安里藝文一街86之6號17樓","劉冠廷","300000","1091026"
"256","83049346","得扉物通股份有限公司","桃園市平鎮區湧光路86號(1樓)","魏文彥","1000000","1091026"
